name,type,category,capacity_mw,lat,lon,source
Agucha Mine,Power Plant (Solar),Thermal/Power Industry,22.0,25.842,74.758,WRI Power Database
Aitipamula,Power Plant (Solar),Thermal/Power Industry,15.0,17.208,79.326,WRI Power Database
Akkinepally,Power Plant (Solar),Thermal/Power Industry,10.0,17.265,79.208,WRI Power Database
Alampur Mytrah 1,Power Plant (Solar),Thermal/Power Industry,11.0,15.925,78.01,WRI Power Database
Alampur SP,Power Plant (Solar),Thermal/Power Industry,10.0,15.901,78.002,WRI Power Database
Alapur,Power Plant (Solar),Thermal/Power Industry,50.0,20.275,75.785,WRI Power Database
Alladurg,Power Plant (Solar),Thermal/Power Industry,11.0,17.947,77.925,WRI Power Database
Allahabad Rattan,Power Plant (Solar),Thermal/Power Industry,50.0,25.395,81.79,WRI Power Database
Alland,Power Plant (Solar),Thermal/Power Industry,20.0,17.636,76.389,WRI Power Database
Alote,Power Plant (Solar),Thermal/Power Industry,20.0,23.815,75.525,WRI Power Database
Amarpur Refex,Power Plant (Solar),Thermal/Power Industry,10.0,24.77,78.445,WRI Power Database
Amarpur Samavist,Power Plant (Solar),Thermal/Power Industry,10.0,24.765,78.45,WRI Power Database
Amarsar Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,28.3615,74.2402,WRI Power Database
Amathur,Power Plant (Solar),Thermal/Power Industry,14.4,9.553,77.885,WRI Power Database
Ambosara,Power Plant (Solar),Thermal/Power Industry,80.0,20.905,85.925,WRI Power Database
Amla Nankar,Power Plant (Solar),Thermal/Power Industry,12.9,23.929,76.121,WRI Power Database
Anabura Wind Farm,Power Plant (Wind),Thermal/Power Industry,16.5,14.5751,76.3926,WRI Power Database
Anantapur Tata,Power Plant (Solar),Thermal/Power Industry,200.0,14.026,78.434,WRI Power Database
Ananthapur - Meil Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,50.0,14.9455,77.687,WRI Power Database
Ananthasagar,Power Plant (Solar),Thermal/Power Industry,45.0,18.152,78.294,WRI Power Database
Andora,Power Plant (Solar),Thermal/Power Industry,20.0,18.275,76.31,WRI Power Database
Andrha Lake Wind Farm,Power Plant (Wind),Thermal/Power Industry,113.6,18.858,73.6396,WRI Power Database
Andur,Power Plant (Solar),Thermal/Power Industry,7.0,17.802,76.248,WRI Power Database
Angadi Raichur A,Power Plant (Solar),Thermal/Power Industry,7.0,17.074,77.557,WRI Power Database
Anikkadavu Wind Farm,Power Plant (Wind),Thermal/Power Industry,19.8,10.7245,77.1893,WRI Power Database
Apollo Chennai,Power Plant (Solar),Thermal/Power Industry,10.0,12.857,79.944,WRI Power Database
Arasadi,Power Plant (Solar),Thermal/Power Industry,10.0,8.8881,78.0644,WRI Power Database
Arasinagundi Wind Farm,Power Plant (Wind),Thermal/Power Industry,13.2,14.4791,76.3482,WRI Power Database
Arvapally Mytrah 1,Power Plant (Solar),Thermal/Power Industry,8.0,17.354,79.586,WRI Power Database
Arvapally Mytrah 2,Power Plant (Solar),Thermal/Power Industry,15.0,17.355,79.591,WRI Power Database
Askandra - DREPL Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3473,71.6917,WRI Power Database
Askandra - Electromech Maritech Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.36,71.6918,WRI Power Database
Askandra - Finehope Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3632,71.6918,WRI Power Database
Askandra - Khaya Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3661,71.6916,WRI Power Database
Askandra - Newton Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3537,71.6917,WRI Power Database
Askandra - Saidham Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3504,71.6918,WRI Power Database
Askandra - Vasavi Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3566,71.6917,WRI Power Database
Assan,Power Plant (Solar),Thermal/Power Industry,10.0,29.415,76.885,WRI Power Database
Azhagapuri,Power Plant (Solar),Thermal/Power Industry,5.0,11.1936,78.4584,WRI Power Database
BADARPUR,Power Plant (Coal),Thermal/Power Industry,705.0,28.506,77.3066,WRI Power Database
BAGALKOT ICP,Power Plant (Biomass),Thermal/Power Industry,28.0,16.2804,75.225,WRI Power Database
BAGLIHAR HEP,Power Plant (Hydro),Thermal/Power Industry,450.0,33.1815,75.3155,WRI Power Database
BAIRA SIUL,Power Plant (Hydro),Thermal/Power Industry,180.0,32.8063,76.1418,WRI Power Database
BAKRESWAR,Power Plant (Coal),Thermal/Power Industry,1050.0,23.8285,87.4513,WRI Power Database
BALIMELA,Power Plant (Hydro),Thermal/Power Industry,510.0,18.1396,82.1221,WRI Power Database
BALLARPUR BILT POWER,Power Plant (Coal),Thermal/Power Industry,67.5,19.8601,79.3421,WRI Power Database
BAMANIA CEMENT,Power Plant (Coal),Thermal/Power Industry,10.0,24.6929,74.689,WRI Power Database
BANDAKHAR TPP,Power Plant (Coal),Thermal/Power Industry,300.0,22.3421,82.4305,WRI Power Database
BANDEL,Power Plant (Coal),Thermal/Power Industry,335.0,22.9956,88.4042,WRI Power Database
BANER,Power Plant (Hydro),Thermal/Power Industry,12.0,32.1686,76.4695,WRI Power Database
BANSAGAR (I),Power Plant (Hydro),Thermal/Power Industry,315.0,24.1917,81.2875,WRI Power Database
BANSAGAR (II),Power Plant (Hydro),Thermal/Power Industry,30.0,24.1917,81.2875,WRI Power Database
BANSAGAR (III),Power Plant (Hydro),Thermal/Power Industry,60.0,24.1917,81.2875,WRI Power Database
BANSAGAR (IV),Power Plant (Hydro),Thermal/Power Industry,20.0,24.223,81.2747,WRI Power Database
BANSWARA CEMENT,Power Plant (Coal),Thermal/Power Industry,20.0,23.6026,74.2562,WRI Power Database
BARADARHA TPP,Power Plant (Coal),Thermal/Power Industry,1200.0,21.9114,83.1889,WRI Power Database
BARAMURA,Power Plant (Gas),Thermal/Power Industry,42.0,23.807,91.565,WRI Power Database
BARAUNI,Power Plant (Coal),Thermal/Power Industry,720.0,25.3999,86.0218,WRI Power Database
BARGI,Power Plant (Hydro),Thermal/Power Industry,90.0,22.9417,79.925,WRI Power Database
BARH STPP II,Power Plant (Coal),Thermal/Power Industry,1320.0,25.4865,85.7452,WRI Power Database
BARKHERA TPP,Power Plant (Coal),Thermal/Power Industry,90.0,28.4723,79.8066,WRI Power Database
BARSINGAR LIGNITE,Power Plant (Coal),Thermal/Power Industry,250.0,27.8453,73.2,WRI Power Database
BASIN BRIDGE GT,Power Plant (Gas),Thermal/Power Industry,120.0,13.1021,80.2682,WRI Power Database
BASPA,Power Plant (Hydro),Thermal/Power Industry,300.0,31.4306,78.241,WRI Power Database
BASSI,Power Plant (Hydro),Thermal/Power Industry,66.0,31.9546,76.7986,WRI Power Database
BEL Chikhalhol Wind Farm,Power Plant (Wind),Thermal/Power Industry,20.0,17.3816,74.5345,WRI Power Database
BELA NAGPUR,Power Plant (Coal),Thermal/Power Industry,270.0,20.805,79.0547,WRI Power Database
BELGAUM UGAR,Power Plant (Biomass),Thermal/Power Industry,22.8,16.6505,74.8209,WRI Power Database
BELLAD-BAGEWADI,Power Plant (Biomass),Thermal/Power Industry,15.0,16.2774,74.7111,WRI Power Database
BELLARY HOTHUR,Power Plant (Coal),Thermal/Power Industry,10.0,15.1831,76.7909,WRI Power Database
BELLARY JANKI,Power Plant (Coal),Thermal/Power Industry,18.0,15.1777,77.1036,WRI Power Database
BELLARY TPS,Power Plant (Coal),Thermal/Power Industry,1700.0,15.1932,76.7195,WRI Power Database
BHADRA,Power Plant (Hydro),Thermal/Power Industry,26.0,13.7008,75.6373,WRI Power Database
BHADRAVATI MILL,Power Plant (Coal),Thermal/Power Industry,41.0,13.8274,75.7131,WRI Power Database
BHAKRA,Power Plant (Hydro),Thermal/Power Industry,1379.0,31.4107,76.4328,WRI Power Database
BHANDARA STEEL MILL,Power Plant (Coal),Thermal/Power Industry,15.0,21.232,79.6311,WRI Power Database
BHANDARA VARAM,Power Plant (Biomass),Thermal/Power Industry,10.0,21.0813,79.7708,WRI Power Database
BHANDARDHARA,Power Plant (Hydro),Thermal/Power Industry,34.0,19.5555,73.8087,WRI Power Database
BHATGARH,Power Plant (Hydro),Thermal/Power Industry,16.0,18.1012,73.7252,WRI Power Database
BHATSA,Power Plant (Hydro),Thermal/Power Industry,15.0,19.5132,73.4173,WRI Power Database
BHAVNAGAR TPP,Power Plant (Coal),Thermal/Power Industry,500.0,21.5837,72.2222,WRI Power Database
BHAWANI KATTALAI -II,Power Plant (Hydro),Thermal/Power Industry,30.0,11.331,77.758,WRI Power Database
BHAWANI KATTALAI -III,Power Plant (Hydro),Thermal/Power Industry,30.0,11.2428,77.8659,WRI Power Database
BHAWANI KATTALAI BARRAGE,Power Plant (Hydro),Thermal/Power Industry,30.0,11.3842,77.7145,WRI Power Database
BHIGWAN MILL,Power Plant (Coal),Thermal/Power Industry,30.0,18.2416,74.7529,WRI Power Database
BHILAI TPP,Power Plant (Coal),Thermal/Power Industry,500.0,21.184,81.4237,WRI Power Database
BHIRA,Power Plant (Hydro),Thermal/Power Industry,300.0,18.455,73.3907,WRI Power Database
BHIRA TAIL RACE,Power Plant (Hydro),Thermal/Power Industry,80.0,18.4426,73.3498,WRI Power Database
BHIVPURI,Power Plant (Hydro),Thermal/Power Industry,75.0,18.9368,73.4527,WRI Power Database
BHUSAWAL,Power Plant (Coal),Thermal/Power Industry,1210.0,21.0483,75.8425,WRI Power Database
BILIYAKALAN PLANT,Power Plant (Biomass),Thermal/Power Industry,10.0,25.2267,74.6216,WRI Power Database
BINA REFINERY,Power Plant (Coal),Thermal/Power Industry,99.0,24.2508,78.1606,WRI Power Database
BINA TPP,Power Plant (Coal),Thermal/Power Industry,500.0,23.3172,78.1336,WRI Power Database
BINANI CEMENT PLANT,Power Plant (Coal),Thermal/Power Industry,69.6,24.8263,73.0901,WRI Power Database
BINJKOTE,Power Plant (Coal),Thermal/Power Industry,600.0,22.0103,83.2058,WRI Power Database
BINWA,Power Plant (Hydro),Thermal/Power Industry,6.0,32.1121,76.6537,WRI Power Database
BIRSINGHPUR,Power Plant (Hydro),Thermal/Power Industry,20.0,23.3256,81.0333,WRI Power Database
BOKARO A ''EXP'',Power Plant (Coal),Thermal/Power Industry,500.0,23.6783,86.0888,WRI Power Database
BOKARO B,Power Plant (Coal),Thermal/Power Industry,210.0,23.785,85.88,WRI Power Database
BONGAIGAON TPP,Power Plant (Coal),Thermal/Power Industry,750.0,26.5145,90.5287,WRI Power Database
BP Brahmanvel Wind Farm,Power Plant (Wind),Thermal/Power Industry,40.0,21.2083,74.1543,WRI Power Database
BRAMHAPURAM DG,Power Plant (Oil),Thermal/Power Industry,60.0,9.9975,76.3744,WRI Power Database
BSES Kerala CCGT,Power Plant (Gas),Thermal/Power Industry,165.0,10.074,76.3188,WRI Power Database
BUDGE BUDGE,Power Plant (Coal),Thermal/Power Industry,750.0,22.4673,88.14,WRI Power Database
BUDHIL,Power Plant (Hydro),Thermal/Power Industry,70.0,32.4584,76.532,WRI Power Database
BUTIBORI PLANT,Power Plant (Oil),Thermal/Power Industry,81.5,20.9225,78.9535,WRI Power Database
BUTIBORI TPP -II,Power Plant (Coal),Thermal/Power Industry,600.0,20.9286,78.9333,WRI Power Database
Bableshwar wind-solar,Power Plant (Solar),Thermal/Power Industry,28.8,16.968,76.256,WRI Power Database
Badal,Power Plant (Solar),Thermal/Power Industry,15.0,30.068,74.671,WRI Power Database
Badanpur,Power Plant (Solar),Thermal/Power Industry,50.0,25.364,78.307,WRI Power Database
Bagalkot,Power Plant (Solar),Thermal/Power Industry,10.0,16.46,75.25,WRI Power Database
Bahadaurgarh Jandian,Power Plant (Solar),Thermal/Power Industry,50.0,30.1547,74.6909,WRI Power Database
Bahadur Khera,Power Plant (Solar),Thermal/Power Industry,25.0,30.115,74.346,WRI Power Database
Bahraich,Power Plant (Solar),Thermal/Power Industry,10.0,27.75,81.49,WRI Power Database
Bakhora Kalan,Power Plant (Solar),Thermal/Power Industry,25.0,29.857,75.807,WRI Power Database
Balanagar,Power Plant (Solar),Thermal/Power Industry,50.0,16.943,78.131,WRI Power Database
Bamani Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,18.0791,76.1807,WRI Power Database
Bamanwali Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,28.3683,73.5286,WRI Power Database
Bandapalli,Power Plant (Solar),Thermal/Power Industry,10.0,13.305,79.12,WRI Power Database
Bandarupalli A,Power Plant (Solar),Thermal/Power Industry,15.0,18.028,78.788,WRI Power Database
Bannari Amman Spinning Mills Wind Power Project,Power Plant (Wind),Thermal/Power Industry,11.2,10.7389,77.416,WRI Power Database
Bansakra,Power Plant (Solar),Thermal/Power Industry,50.0,21.665,81.735,WRI Power Database
Banwala,Power Plant (Solar),Thermal/Power Industry,25.0,30.013,74.602,WRI Power Database
Bap - GIS 1-2 Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,15.0,27.3827,72.3188,WRI Power Database
Bap - GIS 3 Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,10.0,27.3893,72.3134,WRI Power Database
Bap - OPG Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3525,72.3554,WRI Power Database
Bap - Punj Lloyd Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.3851,72.3042,WRI Power Database
Bap PL,Power Plant (Solar),Thermal/Power Industry,5.0,27.483,72.388,WRI Power Database
Bapodar - Hiraco Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,20.0,21.5967,69.843,WRI Power Database
Bapodar - MBEDL Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,15.0,21.6024,69.8441,WRI Power Database
Baran,Power Plant (Solar),Thermal/Power Industry,26.3,25.06,76.38,WRI Power Database
Bareta,Power Plant (Solar),Thermal/Power Industry,25.0,29.876,75.669,WRI Power Database
Bari Seer AG,Power Plant (Solar),Thermal/Power Industry,20.0,27.497,72.402,WRI Power Database
Bari Seer AM,Power Plant (Solar),Thermal/Power Industry,20.0,27.493,72.398,WRI Power Database
Bari Seer AR,Power Plant (Solar),Thermal/Power Industry,20.0,27.488,72.401,WRI Power Database
Bari Seer Medha,Power Plant (Solar),Thermal/Power Industry,20.0,27.494,72.416,WRI Power Database
Bari Seer Ranji,Power Plant (Solar),Thermal/Power Industry,20.0,27.5,72.422,WRI Power Database
Baroo A,Power Plant (Solar),Thermal/Power Industry,20.0,27.36,71.961,WRI Power Database
Barre,Power Plant (Solar),Thermal/Power Industry,10.5,29.876,75.477,WRI Power Database
Barsinga Solaire,Power Plant (Solar),Thermal/Power Industry,5.0,27.4273,72.3885,WRI Power Database
Basavanahalli,Power Plant (Solar),Thermal/Power Industry,10.0,14.022,77.044,WRI Power Database
Basawaipalli,Power Plant (Solar),Thermal/Power Industry,4.4,16.623,77.89,WRI Power Database
Bavadi Barsingha - Giriraj Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,36.3,27.4387,72.3245,WRI Power Database
Bavadi Barsingha - LEPL Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,10.0,27.4523,72.3388,WRI Power Database
Beas,Power Plant (Solar),Thermal/Power Industry,7.6,31.5462,75.3318,WRI Power Database
Beechiganipalle,Power Plant (Solar),Thermal/Power Industry,10.0,13.944,77.518,WRI Power Database
Beeragondanahalli,Power Plant (Solar),Thermal/Power Industry,50.0,14.175,75.725,WRI Power Database
Behbalpur,Power Plant (Solar),Thermal/Power Industry,4.0,30.515,76.27,WRI Power Database
Belagau Wind Farm,Power Plant (Wind),Thermal/Power Industry,1.0,26.7272,70.8304,WRI Power Database
Belagwi Wind Turbines,Power Plant (Wind),Thermal/Power Industry,1.7,16.4961,74.5417,WRI Power Database
Belakavadi,Power Plant (Solar),Thermal/Power Industry,5.0,12.2549,77.1167,WRI Power Database
Belgaum Gadag Wind Farm,Power Plant (Wind),Thermal/Power Industry,24.8,15.4038,75.5625,WRI Power Database
Belgaum Wind farm,Power Plant (Wind),Thermal/Power Industry,50.4,15.9349,74.7007,WRI Power Database
Bellagurai,Power Plant (Solar),Thermal/Power Industry,40.0,15.775,76.85,WRI Power Database
Bellampally,Power Plant (Solar),Thermal/Power Industry,15.0,19.02,79.42,WRI Power Database
Bellari,Power Plant (Solar),Thermal/Power Industry,30.0,15.025,76.805,WRI Power Database
Bemalkheda,Power Plant (Solar),Thermal/Power Industry,10.0,17.642,77.418,WRI Power Database
Bera Wind Farm,Power Plant (Wind),Thermal/Power Industry,150.0,23.0544,68.8782,WRI Power Database
Betwasiya,Power Plant (Solar),Thermal/Power Industry,5.0,26.789,72.938,WRI Power Database
BhSP1,Power Plant (Solar),Thermal/Power Industry,420.0,27.491,71.961,WRI Power Database
BhSP1} Fortum,Power Plant (Solar),Thermal/Power Industry,70.0,27.484,71.957,WRI Power Database
BhSP1} RSE1,Power Plant (Solar),Thermal/Power Industry,70.0,27.492,71.948,WRI Power Database
BhSP1} RSE2,Power Plant (Solar),Thermal/Power Industry,70.0,27.489,71.958,WRI Power Database
BhSP1} SD1,Power Plant (Solar),Thermal/Power Industry,70.0,27.478,71.954,WRI Power Database
BhSP1} SD2,Power Plant (Solar),Thermal/Power Industry,70.0,27.467,71.96,WRI Power Database
BhSP1} Yarrow,Power Plant (Solar),Thermal/Power Industry,70.0,27.472,71.96,WRI Power Database
BhSP2,Power Plant (Solar),Thermal/Power Industry,260.0,27.491,71.961,WRI Power Database
BhSP2} Jakson,Power Plant (Solar),Thermal/Power Industry,65.0,27.492,71.904,WRI Power Database
BhSP2} Tata,Power Plant (Solar),Thermal/Power Industry,65.0,27.496,71.953,WRI Power Database
BhSP2} Vikram A,Power Plant (Solar),Thermal/Power Industry,65.0,27.498,71.92,WRI Power Database
BhSP2} Vikram B,Power Plant (Solar),Thermal/Power Industry,65.0,27.498,71.92,WRI Power Database
BhSP3,Power Plant (Solar),Thermal/Power Industry,560.0,27.491,71.961,WRI Power Database
BhSP3} Acme,Power Plant (Solar),Thermal/Power Industry,200.0,27.517,71.964,WRI Power Database
BhSP3} SBG,Power Plant (Solar),Thermal/Power Industry,360.0,27.507,71.974,WRI Power Database
BhSP4,Power Plant (Solar),Thermal/Power Industry,210.0,27.491,71.961,WRI Power Database
BhSP4} Avaada,Power Plant (Solar),Thermal/Power Industry,60.0,27.486,71.978,WRI Power Database
BhSP4} Phelan,Power Plant (Solar),Thermal/Power Industry,50.0,27.467,71.975,WRI Power Database
BhSP4} SBG,Power Plant (Solar),Thermal/Power Industry,100.0,27.47,71.988,WRI Power Database
BhSP} Arjun,Power Plant (Solar),Thermal/Power Industry,5.0,27.5407,71.9142,WRI Power Database
BhSP} Energo,Power Plant (Solar),Thermal/Power Industry,10.0,27.528,71.932,WRI Power Database
BhSP} Essel,Power Plant (Solar),Thermal/Power Industry,20.0,27.519,71.931,WRI Power Database
BhSP} Roha,Power Plant (Solar),Thermal/Power Industry,27.6,27.541,71.921,WRI Power Database
BhSP} Sidhi,Power Plant (Solar),Thermal/Power Industry,5.5,27.541,71.916,WRI Power Database
BhSP} Star,Power Plant (Solar),Thermal/Power Industry,5.0,27.526,71.935,WRI Power Database
BhSP} Sungold,Power Plant (Solar),Thermal/Power Industry,5.0,27.5409,71.9114,WRI Power Database
Bhadrada,Power Plant (Solar),Thermal/Power Industry,5.0,23.678,71.563,WRI Power Database
Bhadrada Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,23.6688,71.5782,WRI Power Database
Bhagavathikere,Power Plant (Solar),Thermal/Power Industry,10.0,14.074,76.72,WRI Power Database
Bhagwanpura,Power Plant (Solar),Thermal/Power Industry,106.0,24.688,75.13,WRI Power Database
Bhainsa Suzlon,Power Plant (Solar),Thermal/Power Industry,15.0,19.135,77.985,WRI Power Database
Bhalki,Power Plant (Solar),Thermal/Power Industry,20.0,18.082,77.13,WRI Power Database
Bhambuo Ki Dhani,Power Plant (Solar),Thermal/Power Industry,5.0,26.744,72.983,WRI Power Database
Bhat Khedi Wind Farm,Power Plant (Wind),Thermal/Power Industry,98.7,23.6756,75.0565,WRI Power Database
Bhatakumarada,Power Plant (Solar),Thermal/Power Industry,40.0,19.43,84.895,WRI Power Database
Bhatkota Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,3.0,23.5594,73.286,WRI Power Database
Bhensarwas,Power Plant (Solar),Thermal/Power Industry,51.0,24.525,77.62,WRI Power Database
Bhetanai-Bhejiput,Power Plant (Solar),Thermal/Power Industry,40.0,19.665,84.73,WRI Power Database
Bhonigir Acme,Power Plant (Solar),Thermal/Power Industry,50.0,17.595,78.82,WRI Power Database
Bibiyapur,Power Plant (Solar),Thermal/Power Industry,10.0,27.587,79.731,WRI Power Database
Bid Madhopur,Power Plant (Solar),Thermal/Power Industry,5.0,23.946,76.031,WRI Power Database
Bid Pipalya,Power Plant (Solar),Thermal/Power Industry,5.0,23.942,76.039,WRI Power Database
Bidar C,Power Plant (Solar),Thermal/Power Industry,15.0,17.7763,77.4391,WRI Power Database
Bidar D,Power Plant (Solar),Thermal/Power Industry,8.0,17.774,77.463,WRI Power Database
Bidar E,Power Plant (Solar),Thermal/Power Industry,15.0,17.925,77.368,WRI Power Database
Bidar Rural,Power Plant (Solar),Thermal/Power Industry,20.0,17.92,77.378,WRI Power Database
Bijapur Essel 3,Power Plant (Solar),Thermal/Power Industry,5.0,16.872,75.712,WRI Power Database
Bindpuri,Power Plant (Solar),Thermal/Power Industry,5.0,25.906,79.917,WRI Power Database
Birami,Power Plant (Solar),Thermal/Power Industry,30.0,25.337,73.221,WRI Power Database
Birmani JBGC,Power Plant (Solar),Thermal/Power Industry,5.0,25.27,77.19,WRI Power Database
Birmani RGP,Power Plant (Solar),Thermal/Power Industry,8.0,25.275,77.19,WRI Power Database
Birmani SRI,Power Plant (Solar),Thermal/Power Industry,5.0,25.28,77.19,WRI Power Database
Bithuja,Power Plant (Solar),Thermal/Power Industry,5.2,25.8038,72.2886,WRI Power Database
Bitta Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,40.0,23.2579,69.0255,WRI Power Database
Bodhare,Power Plant (Solar),Thermal/Power Industry,50.0,20.375,75.04,WRI Power Database
Boha Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,4.2,29.8504,75.49,WRI Power Database
Boinpally,Power Plant (Solar),Thermal/Power Industry,9.0,16.742,78.357,WRI Power Database
Bolangir,Power Plant (Solar),Thermal/Power Industry,25.0,20.553,83.371,WRI Power Database
Bonada Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,26.5249,71.5212,WRI Power Database
Boram Palli,Power Plant (Solar),Thermal/Power Industry,20.0,14.577,77.186,WRI Power Database
Boya,Power Plant (Solar),Thermal/Power Industry,10.0,25.168,73.25,WRI Power Database
Byadagi,Power Plant (Solar),Thermal/Power Industry,20.0,14.673,75.514,WRI Power Database
CHAKABURA TPP,Power Plant (Coal),Thermal/Power Industry,60.0,22.3932,82.5532,WRI Power Database
CHAMERA II,Power Plant (Hydro),Thermal/Power Industry,300.0,32.4734,76.2552,WRI Power Database
CHAMERA-I,Power Plant (Hydro),Thermal/Power Industry,540.0,32.5966,75.9857,WRI Power Database
CHAMERA-III,Power Plant (Hydro),Thermal/Power Industry,231.0,32.4733,76.44,WRI Power Database
CHANDA CEMENT WORKS,Power Plant (Coal),Thermal/Power Industry,40.0,19.9213,79.1133,WRI Power Database
CHANDERIA CEMENT WORKS,Power Plant (Coal),Thermal/Power Industry,35.0,24.9293,74.6367,WRI Power Database
CHANDERIA SMELTER,Power Plant (Coal),Thermal/Power Industry,234.0,24.9637,74.6656,WRI Power Database
CHANDRAPUR GUPTA,Power Plant (Coal),Thermal/Power Industry,120.0,19.93,79.1346,WRI Power Database
CHANDRAPUR MANIKGHAR,Power Plant (Coal),Thermal/Power Industry,10.0,19.7218,79.1757,WRI Power Database
CHANDRAPURA,Power Plant (Coal),Thermal/Power Industry,630.0,23.7376,86.1273,WRI Power Database
CHANDRAPUR_Coal,Power Plant (Coal),Thermal/Power Industry,2920.0,20.0063,79.29,WRI Power Database
CHANJU-I,Power Plant (Hydro),Thermal/Power Industry,36.0,32.7369,76.2477,WRI Power Database
CHEMBUKADAVU-II,Power Plant (Hydro),Thermal/Power Industry,3.75,11.4645,76.0376,WRI Power Database
CHENANI I to III,Power Plant (Hydro),Thermal/Power Industry,32.8,32.9578,75.1705,WRI Power Database
CHHABRA TPS,Power Plant (Coal),Thermal/Power Industry,2320.0,24.6217,77.0357,WRI Power Database
